"Seqname" "ST" "acsA" "aroE" "guaA" "mutL" "nuoD" "ppsA" "trpE"
"GCA_000795605.1_AZPAE14710_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795625.1_AZPAE13872_genomic.fna.txt" 167 40 5 11 5 4 38 37
"GCA_000795635.1_AZPAE13876_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_000795665.1_AZPAE13877_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000795685.1_AZPAE13879_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795705.1_AZPAE14723_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795725.1_AZPAE13880_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795735.1_AZPAE14352_genomic.fna.txt" 3119 6 5 11 11 15 4 260
"GCA_000795765.1_AZPAE14353_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795785.1_AZPAE14359_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_000795805.1_AZPAE14705_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795815.1_AZPAE14708_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795845.1_AZPAE14372_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_000795865.1_AZPAE14724_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000795875.1_AZPAE14373_genomic.fna.txt" 3470 5 146 25 240 10 7 5
"GCA_000795905.1_AZPAE14718_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000795925.1_AZPAE14379_genomic.fna.txt" 242 28 5 5 11 3 15 44
"GCA_000795945.1_AZPAE14381_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000795955.1_AZPAE14720_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795985.1_AZPAE14390_genomic.fna.txt" 381 11 20 1 65 4 4 10
"GCA_000796005.1_AZPAE14393_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_000796025.1_AZPAE14707_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000796045.1_AZPAE14394_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000796065.1_AZPAE14395_genomic.fna.txt" 365 27 11 5 3 1 6 64
"GCA_000796085.1_AZPAE14402_genomic.fna.txt" 2711 6 5 6 11 4 64 19
"GCA_000796095.1_AZPAE14398_genomic.fna.txt" 773 5 4 5 5 5 7 8
"GCA_000796125.1_AZPAE14403_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000796145.1_AZPAE14404_genomic.fna.txt" 1248 18 11 57 5 1 20 139
"GCA_000796165.1_AZPAE14706_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000796175.1_AZPAE14410_genomic.fna.txt" 1053 28 5 12 11 4 4 18
"GCA_000796205.1_AZPAE14415_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000796225.1_AZPAE14422_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000796245.1_AZPAE14721_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000796255.1_AZPAE14437_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000796285.1_AZPAE14441_genomic.fna.txt" 292 109 10 73 3 4 4 3
"GCA_000796295.1_AZPAE14442_genomic.fna.txt" 2712 9 7 63 13 8 7 47
"GCA_000796325.1_AZPAE14443_genomic.fna.txt" 915 6 5 4 18 4 13 10
"GCA_000796345.1_AZPAE14453_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796365.1_AZPAE14463_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000796385.1_AZPAE14499_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000796405.1_AZPAE14505_genomic.fna.txt" 654 17 5 26 3 4 4 26
"GCA_000796425.1_AZPAE14509_genomic.fna.txt" 1400 44 54 99 48 1 1 163
"GCA_000796445.1_AZPAE14526_genomic.fna.txt" 2615 16 5 83 11 4 13 7
"GCA_000796465.1_AZPAE14533_genomic.fna.txt" 3170 173 5 5 223 3 13 9
"GCA_000796475.1_AZPAE14535_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000796505.1_AZPAE14538_genomic.fna.txt" 871 16 3 1 5 1 55 61
"GCA_000796525.1_AZPAE12138_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000796545.1_AZPAE12135_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_000796555.1_AZPAE12136_genomic.fna.txt" 389 17 22 5 3 1 14 3
"GCA_000796585.1_AZPAE12137_genomic.fna.txt" 2705 15 5 1 3 2 4 2
"GCA_000796605.1_AZPAE14717_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796615.1_AZPAE12140_genomic.fna.txt" 782 15 3 3 11 1 15 1
"GCA_000796645.1_AZPAE14722_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000796655.1_AZPAE12142_genomic.fna.txt" 2706 28 182 37 5 4 6 25
"GCA_000796685.1_AZPAE12143_genomic.fna.txt" 2707 16 130 36 3 3 12 1
"GCA_000796705.1_AZPAE12144_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796725.1_AZPAE14715_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000796745.1_AZPAE12145_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796765.1_AZPAE12146_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796785.1_AZPAE12149_genomic.fna.txt" 439 6 68 20 11 4 4 7
"GCA_000796795.1_AZPAE12147_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000796825.1_AZPAE12148_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000796845.1_AZPAE14714_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000796865.1_AZPAE12150_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000796875.1_AZPAE12151_genomic.fna.txt" 2123 6 5 36 3 3 15 2
"GCA_000796905.1_AZPAE12152_genomic.fna.txt" 617 16 101 11 97 4 69 88
"GCA_000796925.1_AZPAE12153_genomic.fna.txt" 116 28 24 22 18 3 15 7
"GCA_000796945.1_AZPAE12154_genomic.fna.txt" 908 39 6 4 14 4 6 2
"GCA_000796955.1_AZPAE12155_genomic.fna.txt" 389 17 22 5 3 1 14 3
"GCA_000796985.1_AZPAE12156_genomic.fna.txt" 569 11 5 11 11 3 6 27
"GCA_000797005.1_AZPAE12409_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000797025.1_AZPAE14719_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000797045.1_AZPAE12410_genomic.fna.txt" 1239 16 5 1 3 4 15 7
"GCA_000797055.1_AZPAE12411_genomic.fna.txt" 1011 11 3 11 3 4 15 2
"GCA_000797085.1_AZPAE14713_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000797105.1_AZPAE12412_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000797125.1_AZPAE12413_genomic.fna.txt" 782 15 3 3 11 1 15 1
"GCA_000797145.1_AZPAE12414_genomic.fna.txt" 782 15 3 3 11 1 15 1
"GCA_000797165.1_AZPAE12415_genomic.fna.txt" 782 15 3 3 11 1 15 1
"GCA_000797185.1_AZPAE12416_genomic.fna.txt" 2708 84 3 20 71 4 7 53
"GCA_000797205.1_AZPAE14712_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000797225.1_AZPAE12417_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000797245.1_AZPAE12418_genomic.fna.txt" 2708 84 3 20 71 4 7 53
"GCA_000797265.1_AZPAE12419_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000797285.1_AZPAE12420_genomic.fna.txt" 252 6 28 4 3 3 4 7
"GCA_000797305.1_AZPAE12421_genomic.fna.txt" 500 11 57 7 3 4 15 1
"GCA_000797325.1_AZPAE12422_genomic.fna.txt" 2140 11 5 12 3 3 1 18
"GCA_000797345.1_AZPAE14711_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000797355.1_AZPAE12423_genomic.fna.txt" 2708 84 3 20 71 4 7 53
"GCA_000797395.1_AZPAE13756_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001420185.1_ASM142018v1_genomic.fna.txt" 9997 17 138 11 3 11 4 9
"GCA_001420205.1_ASM142020v1_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001420225.1_ASM142022v1_genomic.fna.txt" 254 6 5 58 11 3 4 37
"GCA_001420245.1_ASM142024v1_genomic.fna.txt" 760 15 121 36 5 4 15 8
"GCA_001420265.1_ASM142026v1_genomic.fna.txt" 549 7 5 12 3 4 1 7
"GCA_001444745.1_ASM144474v1_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_001444755.1_ASM144475v1_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_001444765.1_ASM144476v1_genomic.fna.txt" 377 103 8 5 5 1 6 4
"GCA_001444815.1_ASM144481v1_genomic.fna.txt" 3134 6 101 4 11 1 4 2
"GCA_001444835.1_ASM144483v1_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_001444845.1_ASM144484v1_genomic.fna.txt" 3039 89 30 31 26 119 24 143
"GCA_001444865.1_ASM144486v1_genomic.fna.txt" 641 6 5 6 5 4 4 7
"GCA_001444895.1_ASM144489v1_genomic.fna.txt" 664 9 5 11 3 4 40 18
"GCA_001444915.1_ASM144491v1_genomic.fna.txt" 316 13 8 9 3 1 6 9
"GCA_001444925.1_ASM144492v1_genomic.fna.txt" 360 15 5 36 11 27 4 2
"GCA_001444955.1_ASM144495v1_genomic.fna.txt" 2025 11 196 12 34 4 13 18
"GCA_001444975.1_ASM144497v1_genomic.fna.txt" 2228 73 205 118 87 86 109 145
"GCA_001444995.1_ASM144499v1_genomic.fna.txt" 3039 89 30 31 26 119 24 143
"GCA_001445005.1_ASM144500v1_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_001445035.1_ASM144503v1_genomic.fna.txt" 447 40 5 11 3 1 47 60
"GCA_001449145.1_WH-SGI-V-07060_genomic.fna.txt" 149 11 5 5 5 4 15 19
"GCA_001449155.1_WH-SGI-V-07058_genomic.fna.txt" 2024 23 5 11 7 4 12 7
"GCA_001449165.1_WH-SGI-V-07057_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001449175.1_WH-SGI-V-07074_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_001449225.1_WH-SGI-V-07068_genomic.fna.txt" 699 7 5 7 3 4 1 7
"GCA_001449245.1_WH-SGI-V-07049_genomic.fna.txt" 1682 39 6 4 14 4 15 2
"GCA_001449255.1_WH-SGI-V-07073_genomic.fna.txt" 1129 22 5 91 3 4 4 7
"GCA_001449275.1_WH-SGI-V-07071_genomic.fna.txt" 1129 22 5 91 3 4 4 7
"GCA_001449305.1_WH-SGI-V-07063_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001449325.1_WH-SGI-V-07070_genomic.fna.txt" 1621 5 54 99 48 1 6 3
"GCA_001449345.1_WH-SGI-V-07062_genomic.fna.txt" 2025 11 196 12 34 4 13 18
"GCA_001449365.1_WH-SGI-V-07051_genomic.fna.txt" 2021 11 5 37 34 4 13 7
"GCA_001449385.1_WH-SGI-V-07072_genomic.fna.txt" 1195 87 34 43 37 53 107 126
"GCA_001449395.1_WH-SGI-V-07066_genomic.fna.txt" 385 15 5 5 5 50 4 14
"GCA_001449425.1_WH-SGI-V-07069_genomic.fna.txt" 152 6 5 19 3 4 6 7
"GCA_001449435.1_WH-SGI-V-07050_genomic.fna.txt" 2020 118 194 85 86 60 54 195
"GCA_001449465.1_WH-SGI-V-07165_genomic.fna.txt" 1006 87 42 114 37 53 97 129
"GCA_001449485.1_WH-SGI-V-07166_genomic.fna.txt" 1990 5 14 25 5 16 7 28
"GCA_001449505.1_WH-SGI-V-07167_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_001449515.1_WH-SGI-V-07168_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449545.1_WH-SGI-V-07169_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001449555.1_WH-SGI-V-07171_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449585.1_WH-SGI-V-07172_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_001449605.1_WH-SGI-V-07174_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449625.1_WH-SGI-V-07175_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449645.1_WH-SGI-V-07177_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001449655.1_WH-SGI-V-07178_genomic.fna.txt" 267 19 5 12 11 11 4 14
"GCA_001449675.1_WH-SGI-V-07180_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449705.1_WH-SGI-V-07221_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001449725.1_WH-SGI-V-07181_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_001449735.1_WH-SGI-V-07184_genomic.fna.txt" 439 6 68 20 11 4 4 7
"GCA_001449765.1_WH-SGI-V-07186_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001449785.1_WH-SGI-V-07187_genomic.fna.txt" 675 40 84 11 3 4 76 91
"GCA_001449805.1_WH-SGI-V-07188_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001449825.1_WH-SGI-V-07223_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_001449835.1_WH-SGI-V-07225_genomic.fna.txt" 664 9 5 11 3 4 40 18
"GCA_001449865.1_WH-SGI-V-07226_genomic.fna.txt" 2027 17 3 11 11 4 38 7
"GCA_001449885.1_WH-SGI-V-07268_genomic.fna.txt" 1591 16 5 11 11 4 13 7
"GCA_001449905.1_WH-SGI-V-07229_genomic.fna.txt" 1249 23 13 109 5 1 1 47
"GCA_001449925.1_WH-SGI-V-07231_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_001449935.1_WH-SGI-V-07232_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001449965.1_WH-SGI-V-07234_genomic.fna.txt" 2028 73 197 114 123 53 106 180
"GCA_001449985.1_WH-SGI-V-07235_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_001450005.1_WH-SGI-V-07237_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001450015.1_WH-SGI-V-07238_genomic.fna.txt" 282 6 5 11 7 3 12 19
"GCA_001450045.1_WH-SGI-V-07240_genomic.fna.txt" 381 11 20 1 65 4 4 10
"GCA_001450065.1_WH-SGI-V-07243_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_001450085.1_WH-SGI-V-07244_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001450095.1_WH-SGI-V-07245_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_001450115.1_WH-SGI-V-07368_genomic.fna.txt" 671 5 5 57 13 1 74 3
"GCA_001450145.1_WH-SGI-V-07369_genomic.fna.txt" 2046 5 4 143 5 5 20 4
"GCA_001450165.1_WH-SGI-V-07370_genomic.fna.txt" 2047 87 34 144 37 53 107 126
"GCA_001450185.1_WH-SGI-V-07372_genomic.fna.txt" 2048 40 5 11 5 2 4 37
"GCA_001450195.1_WH-SGI-V-07374_genomic.fna.txt" 389 17 22 5 3 1 14 3
"GCA_001450225.1_WH-SGI-V-07375_genomic.fna.txt" 198 11 5 11 11 3 27 7
"GCA_001450245.1_WH-SGI-V-07377_genomic.fna.txt" 1129 22 5 91 3 4 4 7
"GCA_001450265.1_WH-SGI-V-07378_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001450275.1_WH-SGI-V-07379_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_001450305.1_WH-SGI-V-07380_genomic.fna.txt" 2049 32 4 5 5 1 36 26
"GCA_001450325.1_WH-SGI-V-07056_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001450345.1_WH-SGI-V-07053_genomic.fna.txt" 2022 16 76 7 11 44 6 45
"GCA_001450355.1_WH-SGI-V-07055_genomic.fna.txt" 2023 87 195 43 87 53 131 196
"GCA_001450385.1_WH-SGI-V-07065_genomic.fna.txt" 966 17 3 5 4 4 4 3
"GCA_001450405.1_WH-SGI-V-07067_genomic.fna.txt" 498 6 28 65 3 3 4 7
"GCA_001450425.1_WH-SGI-V-07054_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001450435.1_WH-SGI-V-07061_genomic.fna.txt" 2025 11 196 12 34 4 13 18
"GCA_001450465.1_WH-SGI-V-07064_genomic.fna.txt" 1195 87 34 43 37 53 107 126
"GCA_001450485.1_WH-SGI-V-07059_genomic.fna.txt" 667 5 67 76 3 1 7 62
"GCA_001450505.1_WH-SGI-V-07170_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001450525.1_WH-SGI-V-07173_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001450545.1_WH-SGI-V-07176_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001450555.1_WH-SGI-V-07179_genomic.fna.txt" 782 15 3 3 11 1 15 1
"GCA_001450585.1_WH-SGI-V-07182_genomic.fna.txt" 699 7 5 7 3 4 1 7
"GCA_001450605.1_WH-SGI-V-07183_genomic.fna.txt" 667 5 67 76 3 1 7 62
"GCA_001450635.1_WH-SGI-V-07222_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_001450665.1_WH-SGI-V-07224_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001450675.1_WH-SGI-V-07227_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_001450705.1_WH-SGI-V-07230_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_001450715.1_WH-SGI-V-07233_genomic.fna.txt" 1125 11 5 11 13 3 4 1
"GCA_001450745.1_WH-SGI-V-07236_genomic.fna.txt" 2029 15 28 11 3 3 38 10
"GCA_001450755.1_WH-SGI-V-07239_genomic.fna.txt" 620 9 7 63 13 8 7 8
"GCA_001450785.1_WH-SGI-V-07242_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_001450795.1_WH-SGI-V-07246_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001450825.1_WH-SGI-V-07371_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001450835.1_WH-SGI-V-07373_genomic.fna.txt" 388 17 14 11 11 1 15 2
"GCA_001450865.1_WH-SGI-V-07376_genomic.fna.txt" 279 5 3 57 3 1 33 47
"GCA_001450875.1_WH-SGI-V-07382_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_001450905.1_WH-SGI-V-07385_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_001450915.1_WH-SGI-V-07384_genomic.fna.txt" 830 5 13 109 5 1 1 47
"GCA_001450925.1_WH-SGI-V-07381_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001450935.1_WH-SGI-V-07241_genomic.fna.txt" 1567 32 8 3 18 1 123 118
"GCA_001450985.1_WH-SGI-V-07386_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_001450995.1_WH-SGI-V-07387_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451015.1_WH-SGI-V-07389_genomic.fna.txt" 1320 22 20 122 3 3 3 7
"GCA_001451025.1_WH-SGI-V-07390_genomic.fna.txt" 1320 22 20 122 3 3 3 7
"GCA_001451065.1_WH-SGI-V-07392_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001451075.1_WH-SGI-V-07391_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001451105.1_WH-SGI-V-07405_genomic.fna.txt" 683 6 5 11 3 4 4 1
"GCA_001451125.1_WH-SGI-V-07406_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451145.1_WH-SGI-V-07407_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_001451165.1_WH-SGI-V-07411_genomic.fna.txt" 386 17 5 11 18 4 10 3
"GCA_001451175.1_WH-SGI-V-07413_genomic.fna.txt" 675 40 84 11 3 4 76 91
"GCA_001451205.1_WH-SGI-V-07414_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_001451225.1_WH-SGI-V-07415_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_001451245.1_WH-SGI-V-07383_genomic.fna.txt" 640 11 5 98 5 3 10 85
"GCA_001451255.1_WH-SGI-V-07388_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001451265.1_WH-SGI-V-07404_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001451295.1_WH-SGI-V-07408_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_001451325.1_WH-SGI-V-07410_genomic.fna.txt" 1247 15 5 77 72 3 6 68
"GCA_001451335.1_WH-SGI-V-07409_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_001451355.1_WH-SGI-V-07412_genomic.fna.txt" 198 11 5 11 11 3 27 7
"GCA_001451375.1_WH-SGI-V-07417_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_001451405.1_WH-SGI-V-07419_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_001451425.1_WH-SGI-V-07421_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_001451455.1_WH-SGI-V-07424_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_001451485.1_WH-SGI-V-07425_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451505.1_WH-SGI-V-07426_genomic.fna.txt" 1182 5 1 109 54 1 1 47
"GCA_001451525.1_WH-SGI-V-07491_genomic.fna.txt" 2052 11 5 74 28 3 134 7
"GCA_001451535.1_WH-SGI-V-07427_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_001451565.1_WH-SGI-V-07484_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_001451575.1_WH-SGI-V-07485_genomic.fna.txt" 2053 16 5 4 74 2 7 10
"GCA_001451605.1_WH-SGI-V-07486_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451625.1_WH-SGI-V-07487_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_001451645.1_WH-SGI-V-07488_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_001451655.1_WH-SGI-V-07489_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_001451685.1_WH-SGI-V-07490_genomic.fna.txt" 1455 15 5 11 3 58 42 9
"GCA_001451705.1_WH-SGI-V-07491_genomic.fna.txt" 1974 39 5 6 11 4 7 193
"GCA_001451725.1_WH-SGI-V-07493_genomic.fna.txt" 316 13 8 9 3 1 6 9
"GCA_001451745.1_WH-SGI-V-07494_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_001451755.1_WH-SGI-V-07495_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_001451785.1_WH-SGI-V-07496_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451805.1_WH-SGI-V-07497_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001451815.1_WH-SGI-V-07498_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451835.1_WH-SGI-V-07500_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_001451865.1_WH-SGI-V-07502_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_001451885.1_WH-SGI-V-07504_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001451895.1_WH-SGI-V-07505_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_001451905.1_WH-SGI-V-07508_genomic.fna.txt" 261 105 5 30 3 3 4 14
"GCA_001451945.1_WH-SGI-V-07618_genomic.fna.txt" 2023 87 195 43 87 53 131 196
"GCA_001451965.1_WH-SGI-V-07619_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001451975.1_WH-SGI-V-07621_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_001451985.1_WH-SGI-V-07622_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452025.1_WH-SGI-V-07626_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452045.1_WH-SGI-V-07627_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452055.1_WH-SGI-V-076137_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452075.1_WH-SGI-V-07630_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001452105.1_WH-SGI-V-07633_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_001452125.1_WH-SGI-V-07634_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_001452135.1_WH-SGI-V-07635_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_001452155.1_WH-SGI-V-07636_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_001452185.1_WH-SGI-V-07637_genomic.fna.txt" 2057 142 12 65 165 1 16 198
"GCA_001452205.1_WH-SGI-V-07640_genomic.fna.txt" 267 19 5 12 11 11 4 14
"GCA_001452215.1_WH-SGI-V-07641_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_001452235.1_WH-SGI-V-07642_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_001452255.1_WH-SGI-V-07643_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_001452285.1_WH-SGI-V-07644_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452305.1_WH-SGI-V-07645_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452325.1_WH-SGI-V-07647_genomic.fna.txt" 712 31 12 65 19 13 7 23
"GCA_001452335.1_WH-SGI-V-07649_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_001452365.1_WH-SGI-V-07651_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001452385.1_WH-SGI-V-07652_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001452405.1_WH-SGI-V-07680_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_001452415.1_WH-SGI-V-07681_genomic.fna.txt" 381 11 20 1 65 4 4 10
"GCA_001452445.1_WH-SGI-V-07685_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_001452465.1_WH-SGI-V-07687_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_001452485.1_WH-SGI-V-07688_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001452495.1_WH-SGI-V-07689_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_001452525.1_WH-SGI-V-07690_genomic.fna.txt" 620 9 7 63 13 8 7 8
"GCA_001452545.1_WH-SGI-V-07692_genomic.fna.txt" 2059 1 3 12 3 1 135 4
"GCA_001452565.1_WH-SGI-V-07693_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_001452575.1_WH-SGI-V-07694_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_001452605.1_WH-SGI-V-07697_genomic.fna.txt" 381 11 20 1 65 4 4 10
"GCA_001452615.1_WH-SGI-V-07699_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_001452645.1_WH-SGI-V-07700_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001452665.1_WH-SGI-V-07702_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_001452675.1_WH-SGI-V-07703_genomic.fna.txt" 235 38 11 3 13 1 2 4
